705696683	20171110	201711	2017	2017.8493	BUS	BUSINESS						BUS			USA	UNITED STATES	USA								1	040	040	04	1	1.0	4	1	4	2.8169014084507	3	Greenville, Iowa, United States	US	USIA	IA041	43.0166	-95.1461	465587	3	Greenville, Iowa, United States	US	USIA	IA041	43.0166	-95.1461	465587	3	Greenville, Iowa, United States	US	USIA	IA041	43.0166	-95.1461	465587	20171110141500	http://www.houstonherald.com/news/state/st-louis-tapped-as-first-city-in-facebook-tour-to/article_625a86da-1d81-5b5d-bb17-09a4636e5bd0.html
705696684	20171110	201711	2017	2017.8493	BUS	COMPANY						BUS			USA	WEST VIRGINIA	USA								0	043	043	04	1	2.8	1	1	1	-0.7423117709438	4	Guodian, Liaoning, China	CH	CH19	13178	39.8367	121.967	10713179	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	4	Guodian, Liaoning, China	CH	CH19	13178	39.8367	121.967	10713179	20171110141500	https://www.bloomberg.com/news/articles/2017-11-10/why-even-84-billion-from-china-can-t-buy-a-u-s-east-gas-hub
705696685	20171110	201711	2017	2017.8493	BUS	COMPANY						BUS			USA	UNITED STATES	USA								0	043	043	04	1	2.8	4	1	4	1.57563025210084	3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	20171110141500	http://www.chicagotribune.com/business/careers/topworkplaces/ct-biz-top-workplaces-2017-main-story-meaningfulness-20170913-story.html
705696686	20171110	201711	2017	2017.8493	BUS	COMPANY						BUS			USA	CHICAGO	USA								0	043	043	04	1	2.8	6	1	6	1.57563025210084	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	20171110141500	http://www.chicagotribune.com/business/careers/topworkplaces/ct-biz-top-workplaces-2017-main-story-meaningfulness-20170913-story.html
705696687	20171110	201711	2017	2017.8493	BUS	BANK						BUS			USA	ALABAMA	USA								1	071	071	07	2	7.4	8	1	8	-8.08823529411764	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	20171110141500	http://www.sfgate.com/news/crime/article/Alabama-stockbroker-accused-of-embezzling-funds-12347163.php
705696688	20171110	201711	2017	2017.8493	BUS	BANK						BUS			USA	ALABAMA	USA								1	112	112	11	3	-2.0	8	1	8	-8.08823529411764	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	20171110141500	http://www.sfgate.com/news/crime/article/Alabama-stockbroker-accused-of-embezzling-funds-12347163.php
705696689	20171110	201711	2017	2017.8493	BUS	COMPANY						BUS			USAGOVBUS	WEST VIRGINIA	USA					GOV	BUS		0	043	043	04	1	2.8	3	1	3	-0.7423117709438	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20171110141500	https://www.bloomberg.com/news/articles/2017-11-10/why-even-84-billion-from-china-can-t-buy-a-u-s-east-gas-hub
705696690	20171110	201711	2017	2017.8493	CAN	CANADA	CAN																		0	043	043	04	1	2.8	7	1	7	0.63025210084034	4	Comox, British Columbia, Canada	CA	CA02	190729	49.6833	-124.933	-562908	0								4	Comox, British Columbia, Canada	CA	CA02	190729	49.6833	-124.933	-562908	20171110141500	https://www.insidebelleville.com/news-story/7913692-special-forces-face-unique-mental-challenges/
705696691	20171110	201711	2017	2017.8493	CAN	CANADA	CAN																		1	043	043	04	1	2.8	2	1	2	2.19560878243513	3	Rochester, New York, United States	US	USNY	NY055	43.1548	-77.6156	962684	0								1	Canada	CA	CA		60	-96	CA	20171110141500	https://www.insidebelleville.com/whatson-story/7913790-bradley-cooper-and-irina-shayk-want-another-baby-/
705696692	20171110	201711	2017	2017.8493	CAN	CANADA	CAN																		0	0841	084	08	2	7.0	7	1	7	0.63025210084034	4	Comox, British Columbia, Canada	CA	CA02	190729	49.6833	-124.933	-562908	0								4	Comox, British Columbia, Canada	CA	CA02	190729	49.6833	-124.933	-562908	20171110141500	https://www.insidebelleville.com/news-story/7913692-special-forces-face-unique-mental-challenges/
705696693	20171110	201711	2017	2017.8493	CAN	CANADA	CAN																		0	0841	084	08	2	7.0	7	1	7	-1.90763052208836	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	0								4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	20171110141500	https://www.insidebelleville.com/news-story/7913694-chinese-canadian-veterans-fought-in-secret-unit/
705696694	20171110	201711	2017	2017.8493	CAN	CANADA	CAN																		1	0841	084	08	2	7.0	1	1	1	2.19560878243513	3	Rochester, New York, United States	US	USNY	NY055	43.1548	-77.6156	962684	0								3	Rochester, New York, United States	US	USNY	NY055	43.1548	-77.6156	962684	20171110141500	https://www.insidebelleville.com/whatson-story/7913790-bradley-cooper-and-irina-shayk-want-another-baby-/
705696695	20171110	201711	2017	2017.8493	CAN	CANADA	CAN																		1	120	120	12	3	-4.0	2	1	2	-2.3094688221709	4	Comox, British Columbia, Canada	CA	CA02	190729	49.6833	-124.933	-562908	0								4	Comox, British Columbia, Canada	CA	CA02	190729	49.6833	-124.933	-562908	20171110141500	http://www.comoxvalleyrecord.com/news/forbidden-plateau-clean-up-complete-for-now/
705696696	20171110	201711	2017	2017.8493	CAN	CANADA	CAN																		1	120	120	12	3	-4.0	2	1	2	-2.3094688221709	4	Mountain Park, Alberta, Canada	CA	CA01	154724	52.9333	-117.283	-569691	0								4	Comox, British Columbia, Canada	CA	CA02	190729	49.6833	-124.933	-562908	20171110141500	http://www.comoxvalleyrecord.com/news/forbidden-plateau-clean-up-complete-for-now/
705696697	20171110	201711	2017	2017.8493	CAN	CANADA	CAN																		0	164	164	16	4	-7.0	2	1	2	-2.31788079470198	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	0								4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	20171110141500	http://www.macleans.ca/politics/anticipated-tpp-talks-at-apec-summit-cancelled/
705696698	20171110	201711	2017	2017.8493	CAN	CANADA	CAN																		0	181	181	18	4	-9.0	7	1	7	0.63025210084034	4	Comox, British Columbia, Canada	CA	CA02	190729	49.6833	-124.933	-562908	0								4	Comox, British Columbia, Canada	CA	CA02	190729	49.6833	-124.933	-562908	20171110141500	https://www.insidebelleville.com/news-story/7913692-special-forces-face-unique-mental-challenges/
705696699	20171110	201711	2017	2017.8493	CAN	CANADA	CAN																		0	181	181	18	4	-9.0	7	1	7	-1.90763052208836	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	0								4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	20171110141500	https://www.insidebelleville.com/news-story/7913694-chinese-canadian-veterans-fought-in-secret-unit/
705696700	20171110	201711	2017	2017.8493	CAN	CANADA	CAN																		1	181	181	18	4	-9.0	2	1	2	2.19560878243513	3	Rochester, New York, United States	US	USNY	NY055	43.1548	-77.6156	962684	0								1	Canada	CA	CA		60	-96	CA	20171110141500	https://www.insidebelleville.com/whatson-story/7913790-bradley-cooper-and-irina-shayk-want-another-baby-/
705696701	20171110	201711	2017	2017.8493	CAN	CANADIAN	CAN								CVL	HUNTER						CVL			1	043	043	04	1	2.8	10	1	10	0.4524886877828	4	Great Plains, Canada (general), Canada	CA	CA00	29620	39	-101	-565581	4	Great Plains, Canada (general), Canada	CA	CA00	29620	39	-101	-565581	4	Great Plains, Canada (general), Canada	CA	CA00	29620	39	-101	-565581	20171110141500	http://around.uoregon.edu/content/first-americans-were-seafarers-not-hikers-paper-says
705696702	20171110	201711	2017	2017.8493	CAN	CANADIAN	CAN								IRL	IRELAND	IRL								1	043	043	04	1	2.8	8	1	8	4.78260869565217	1	Canada	CA	CA		60	-96	CA	4	Rock Of Cashel, South Tipperary, Ireland	EI	EI40	18305	52.5214	-7.88778	-1501462	1	Canada	CA	CA		60	-96	CA	20171110141500	http://www.fft.ie/canadian-travel-professionals-explore-ireland/19009
705696703	20171110	201711	2017	2017.8493	CAN	CANADA	CAN								MIL	REGIMENT						MIL			0	051	051	05	1	3.4	4	1	4	2.51572327044025	4	Cape Breton, Nova Scotia, Canada	CA	CA07	12622	45.95	-59.7833	-561613	4	Cape Breton, Nova Scotia, Canada	CA	CA07	12622	45.95	-59.7833	-561613	4	Cape Breton, Nova Scotia, Canada	CA	CA07	12622	45.95	-59.7833	-561613	20171110141500	http://www.cbc.ca/news/canada/nova-scotia/soldiers-4-regiment-stone-church-victoria-mines-roof-1.4395822
705696704	20171110	201711	2017	2017.8493	CAN	CANADA	CAN								USA	UNITED STATES	USA								1	042	042	04	1	1.9	2	1	2	0.97517730496454	4	West Point, Prince Edward Island, Canada	CA	CA09	12691	46.6167	-64.3833	-575797	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	4	West Point, Prince Edward Island, Canada	CA	CA09	12691	46.6167	-64.3833	-575797	20171110141500	https://www.washingtonpost.com/news/inspired-life/wp/2017/11/10/shaped-by-the-great-depression-this-103-year-old-veteran-found-honor-and-fun-in-service/
705696705	20171110	201711	2017	2017.8493	CAN	CANADA	CAN								USA	UNITED STATES	USA								1	042	042	04	1	1.9	1	1	1	0.97517730496454	4	West Point, Prince Edward Island, Canada	CA	CA09	12691	46.6167	-64.3833	-575797	3	Solomons Island, Maryland, United States	US	USMD		38.3215	-76.4583	591689	4	West Point, Prince Edward Island, Canada	CA	CA09	12691	46.6167	-64.3833	-575797	20171110141500	https://www.washingtonpost.com/news/inspired-life/wp/2017/11/10/shaped-by-the-great-depression-this-103-year-old-veteran-found-honor-and-fun-in-service/
705696706	20171110	201711	2017	2017.8493	CAN	CANADA	CAN								USA	UNITED STATES	USA								1	042	042	04	1	1.9	1	1	1	0.97517730496454	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	4	West Point, Prince Edward Island, Canada	CA	CA09	12691	46.6167	-64.3833	-575797	20171110141500	https://www.washingtonpost.com/news/inspired-life/wp/2017/11/10/shaped-by-the-great-depression-this-103-year-old-veteran-found-honor-and-fun-in-service/
705696707	20171110	201711	2017	2017.8493	CAN	CANADA	CAN								USA	UNITED STATES	USA								1	042	042	04	1	1.9	1	1	1	0.97517730496454	3	Solomons Island, Maryland, United States	US	USMD	MD009	38.3215	-76.4583	591689	3	Solomons Island, Maryland, United States	US	USMD		38.3215	-76.4583	591689	4	West Point, Prince Edward Island, Canada	CA	CA09	12691	46.6167	-64.3833	-575797	20171110141500	https://www.washingtonpost.com/news/inspired-life/wp/2017/11/10/shaped-by-the-great-depression-this-103-year-old-veteran-found-honor-and-fun-in-service/
705696708	20171110	201711	2017	2017.8493	CAN	CANADA	CAN								USA	UNITED STATES	USA								1	043	043	04	1	2.8	2	1	2	0.97517730496454	4	West Point, Prince Edward Island, Canada	CA	CA09	12691	46.6167	-64.3833	-575797	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	4	West Point, Prince Edward Island, Canada	CA	CA09	12691	46.6167	-64.3833	-575797	20171110141500	https://www.washingtonpost.com/news/inspired-life/wp/2017/11/10/shaped-by-the-great-depression-this-103-year-old-veteran-found-honor-and-fun-in-service/
705696709	20171110	201711	2017	2017.8493	CAN	CANADA	CAN								USA	UNITED STATES	USA								1	043	043	04	1	2.8	1	1	1	0.97517730496454	4	West Point, Prince Edward Island, Canada	CA	CA09	12691	46.6167	-64.3833	-575797	3	Solomons Island, Maryland, United States	US	USMD		38.3215	-76.4583	591689	4	West Point, Prince Edward Island, Canada	CA	CA09	12691	46.6167	-64.3833	-575797	20171110141500	https://www.washingtonpost.com/news/inspired-life/wp/2017/11/10/shaped-by-the-great-depression-this-103-year-old-veteran-found-honor-and-fun-in-service/
705696710	20171110	201711	2017	2017.8493	CAN	CANADA	CAN								USA	UNITED STATES	USA								1	043	043	04	1	2.8	1	1	1	0.97517730496454	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	4	West Point, Prince Edward Island, Canada	CA	CA09	12691	46.6167	-64.3833	-575797	20171110141500	https://www.washingtonpost.com/news/inspired-life/wp/2017/11/10/shaped-by-the-great-depression-this-103-year-old-veteran-found-honor-and-fun-in-service/
705696711	20171110	201711	2017	2017.8493	CAN	CANADA	CAN								USA	UNITED STATES	USA								1	043	043	04	1	2.8	1	1	1	0.97517730496454	3	Solomons Island, Maryland, United States	US	USMD	MD009	38.3215	-76.4583	591689	3	Solomons Island, Maryland, United States	US	USMD		38.3215	-76.4583	591689	4	West Point, Prince Edward Island, Canada	CA	CA09	12691	46.6167	-64.3833	-575797	20171110141500	https://www.washingtonpost.com/news/inspired-life/wp/2017/11/10/shaped-by-the-great-depression-this-103-year-old-veteran-found-honor-and-fun-in-service/
705696712	20171110	201711	2017	2017.8493	CANGOV	ONTARIO	CAN					GOV			CAN	ONTARIO	CAN								1	082	082	08	2	5.0	5	1	5	-4.19580419580419	0								0								0								20171110141500	http://www.canindia.com/ontario-colleges-ask-striking-faculty-for-final-offer-vote/
705696713	20171110	201711	2017	2017.8493	CANGOV	CANADA	CAN					GOV			FRA	FRANCE	FRA								1	010	010	01	1	0.0	2	1	2	2.0671834625323	1	Canada	CA	CA		60	-96	CA	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20171110141500	https://hot1047maine.com/blog/5tyntk-friday-november-10-2017/
705696714	20171110	201711	2017	2017.8493	CANGOV	CANADA	CAN					GOV			FRA	FRENCH	FRA								1	010	010	01	1	0.0	6	1	6	2.0671834625323	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	2	Maine, United States	US	USME		44.6074	-69.3977	ME	20171110141500	https://hot1047maine.com/blog/5tyntk-friday-november-10-2017/
705696715	20171110	201711	2017	2017.8493	CANGOV	CANADA	CAN					GOV			FRA	CHAMPAGNE	FRA								0	030	030	03	1	4.0	1	1	1	2.07570207570207	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20171110141500	https://www.bloomberg.com/news/articles/2017-11-10/giant-pacific-trade-deal-gets-bogged-down-near-finish-line
705696716	20171110	201711	2017	2017.8493	CANGOV	CANADA	CAN					GOV			FRA	CHAMPAGNE	FRA								0	030	030	03	1	4.0	1	1	1	2.07570207570207	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	1	Japan	JA	JA		36	138	JA	20171110141500	https://www.bloomberg.com/news/articles/2017-11-10/giant-pacific-trade-deal-gets-bogged-down-near-finish-line
705696717	20171110	201711	2017	2017.8493	CHE	GENEVA	CHE								IGOUNO	UN ENVOY		UNO				IGO			1	040	040	04	1	1.0	2	1	2	1.25786163522013	4	Geneva, Genè, Switzerland	SZ	SZ07	16329	46.1956	6.14811	-2552151	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	1	Syria	SY	SY		35	38	SY	20171110141500	http://www.ansamed.info/ansamed/en/news/sections/politics/2017/11/10/un-envoy-in-paris-ahead-of-intra-syrian-talks_d3d63098-7d55-42e9-aaff-faf5aed70547.html
705696718	20171110	201711	2017	2017.8493	CHL	CHILEAN	CHL								BUS	BUSINESS						BUS			1	040	040	04	1	1.0	16	1	8	3.4816247582205	1	Chile	CI	CI		-30	-71	CI	1	Chile	CI	CI		-30	-71	CI	1	Chile	CI	CI		-30	-71	CI	20171110141500	http://www.plenglish.com/index.php?o=rn&id=20843&SEO=chile-attends-apec-summit-focusing-on-tpp-11
705696719	20171110	201711	2017	2017.8493	CHL	CHILE	CHL								MED	MEDIA						MED			1	010	010	01	1	0.0	4	1	4	-1.6260162601626	4	Santiago, Regióetropolitana, Chile	CI	CI12	22379	-33.45	-70.6667	-901202	4	Santiago, Regióetropolitana, Chile	CI	CI12	22379	-33.45	-70.6667	-901202	4	Santiago, Regióetropolitana, Chile	CI	CI12	22379	-33.45	-70.6667	-901202	20171110141500	http://www.canindia.com/wreckage-of-chilean-titanic-found/
705696720	20171110	201711	2017	2017.8493	CHL	CHILE	CHL								MNCUSA	NETFLIX	USA					MNC			1	013	013	01	1	0.4	2	1	2	1.25	4	Santiago, Regióetropolitana, Chile	CI	CI12	22379	-33.45	-70.6667	-901202	4	Santiago, Regióetropolitana, Chile	CI	CI12	22379	-33.45	-70.6667	-901202	4	Santiago, Regióetropolitana, Chile	CI	CI12	22379	-33.45	-70.6667	-901202	20171110141500	http://www.pinknews.co.uk/2017/11/10/there-are-now-more-lgbt-characters-on-tv-than-ever-before/
705696721	20171110	201711	2017	2017.8493	CHLGOV	CHILE	CHL					GOV													1	051	051	05	1	3.4	2	1	2	1.25	4	Santiago, Regióetropolitana, Chile	CI	CI12	22379	-33.45	-70.6667	-901202	0								4	Santiago, Regióetropolitana, Chile	CI	CI12	22379	-33.45	-70.6667	-901202	20171110141500	http://www.pinknews.co.uk/2017/11/10/there-are-now-more-lgbt-characters-on-tv-than-ever-before/
705696722	20171110	201711	2017	2017.8493	CHN	CHINA	CHN																		0	042	042	04	1	1.9	1	1	1	-0.91533180778032	1	China	CH	CH		35	105	CH	0								4	Tendi, Limpopo, South Africa	SF	SF09	77342	-23.7757	31.544	-1292208	20171110141500	https://southernafrican.news/2017/11/10/mnangagwas-road-to-waterloo/
705696723	20171110	201711	2017	2017.8493	CHN	CHINA	CHN																		1	051	051	05	1	3.4	1	1	1	-7.14285714285715	1	Spain	SP	SP		40	-4	SP	0								1	Spain	SP	SP		40	-4	SP	20171110141500	http://www.africanews.com/2017/11/10/trump-lauds-china-during-visit-uk-minister-resigns-over-secret-israel-trip/
705696724	20171110	201711	2017	2017.8493	CHN	CHINA	CHN																		1	071	071	07	2	7.4	8	1	8	2.02140309155767	4	Lianjia, Fujian, China	CH	CH07	13167	26.789	116.879	10771247	0								4	Lianjia, Fujian, China	CH	CH07	13167	26.789	116.879	10771247	20171110141500	http://naija247news.com/2017/11/10/china-hong-kong-received-dominant-share-of-global-proptech-investments-since-2013/
705696725	20171110	201711	2017	2017.8493	CHN	CHINA	CHN																		1	071	071	07	2	7.4	3	1	3	2.02140309155767	4	Lianjia, Fujian, China	CH	CH07	13167	26.789	116.879	10771247	0								1	Hong Kong	HK	HK		22.25	114.166667	HK	20171110141500	http://naija247news.com/2017/11/10/china-hong-kong-received-dominant-share-of-global-proptech-investments-since-2013/
705696726	20171110	201711	2017	2017.8493	CHN	CHINA	CHN																		1	071	071	07	2	7.4	2	1	2	2.02140309155767	1	India	IN	IN		20	77	IN	0								1	United States	US	US		39.828175	-98.5795	US	20171110141500	http://naija247news.com/2017/11/10/china-hong-kong-received-dominant-share-of-global-proptech-investments-since-2013/
705696727	20171110	201711	2017	2017.8493	CHN	CHINA	CHN																		0	114	114	11	3	-2.0	8	1	8	0.82682590721176	4	Xiaomi, Fujian, China	CH	CH07	13163	25.2225	116.057	10999868	0								4	Xiaomi, Fujian, China	CH	CH07	13163	25.2225	116.057	10999868	20171110141500	http://www.fonearena.com/blog/234179/mi-mix-2-review.html
705696728	20171110	201711	2017	2017.8493	CHN	CHINA	CHN								BUS	COMPANY						BUS			1	061	061	06	2	6.4	10	1	10	0.99009900990099	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20171110141500	https://www.lngindustry.com/liquefaction/10112017/cheniere-energy-signs-mou-with-cnpc/
705696729	20171110	201711	2017	2017.8493	CHN	CHINA	CHN								CHNEDU	CHINA	CHN					EDU			1	036	036	03	1	4.0	5	1	5	-0.83682008368201	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171110141500	https://www.bloomberg.com/news/articles/2017-11-10/china-gives-trump-a-win-on-trade-trump-didn-t-even-know-it
705696730	20171110	201711	2017	2017.8493	CHN	CHINA	CHN								CHNGOV	CHINESE	CHN					GOV			0	0311	031	03	1	5.2	8	1	8	-0.83682008368201	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171110141500	https://www.bloomberg.com/news/articles/2017-11-10/china-gives-trump-a-win-on-trade-trump-didn-t-even-know-it
705696731	20171110	201711	2017	2017.8493	CHN	BEIJING	CHN								CHNLEG	CHINA	CHN					LEG			0	051	051	05	1	3.4	2	1	2	0.42253521126761	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171110141500	http://www.scmp.com/news/hong-kong/politics/article/2119389/three-hong-kong-legislators-break-pan-democrat-bloc-back
705696732	20171110	201711	2017	2017.8493	CHN	CHINA	CHN								EUR	EUROPE	EUR								1	120	120	12	3	-4.0	2	1	2	4.71380471380472	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20171110141500	https://www.pv-tech.org/news/influential-think-tank-recommends-200gw-solar-target-for-china
705696733	20171110	201711	2017	2017.8493	CHN	CHINESE	CHN								GOV	FOREIGN OFFICE						GOV			1	040	040	04	1	1.0	1	1	1	-1.45631067961165	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	1	Thailand	TH	TH		15	100	TH	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171110141500	http://www.scmp.com/news/hong-kong/politics/article/2119382/no-reply-yet-hong-kong-uk-activist-barred-city-british
705696734	20171110	201711	2017	2017.8493	CHN	CHINESE	CHN								GOV	FOREIGN OFFICE						GOV			1	040	040	04	1	1.0	1	1	1	-1.45631067961165	1	Thailand	TH	TH		15	100	TH	1	Thailand	TH	TH		15	100	TH	1	Thailand	TH	TH		15	100	TH	20171110141500	http://www.scmp.com/news/hong-kong/politics/article/2119382/no-reply-yet-hong-kong-uk-activist-barred-city-british
705696735	20171110	201711	2017	2017.8493	CHN	CHINA	CHN								GOV	PRESIDENT						GOV			1	051	051	05	1	3.4	2	1	2	-2.38095238095238	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	1	North Korea	KN	KN		40	127	KN	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171110141500	https://www.yahoo.com/news/m/c338ee1f-3f67-333e-ba82-c199f2f3506c/ss_china-doesn%E2%80%99t-like-trump%E2%80%99s.html
705696736	20171110	201711	2017	2017.8493	CHN	CHINA	CHN								IGOBUSWTO	WORLD TRADE ORGANIZATION		WTO				IGO	BUS		1	046	046	04	1	7.0	10	1	10	0.12437810945274	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20171110141500	https://www.bloomberg.com/view/articles/2017-11-10/china-s-banks-need-more-than-a-for-sale-sign
705696737	20171110	201711	2017	2017.8493	CHN	CHINESE	CHN								IGOSEAASN	ASEAN COUNTRIES	SEA	ASN				IGO			1	061	061	06	2	6.4	10	1	10	1.30434782608696	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20171110141500	http://www.fruitnet.com/asiafruit/article/173943/vietnam-china-see-trade-growth
705696738	20171110	201711	2017	2017.8493	CHN	CHINA	CHN								ISR	ISRAEL	ISR								1	0831	083	08	2	5.0	4	1	4	-7.14285714285715	1	China	CH	CH		35	105	CH	1	Israel	IS	IS		31.5	34.75	IS	1	United Kingdom	UK	UK		54	-4	UK	20171110141500	http://www.africanews.com/2017/11/10/trump-lauds-china-during-visit-uk-minister-resigns-over-secret-israel-trip/
705696739	20171110	201711	2017	2017.8493	CHN	CHINA	CHN								ISR	ISRAEL	ISR								1	0831	083	08	2	5.0	1	1	1	-7.14285714285715	1	China	CH	CH		35	105	CH	1	Spain	SP	SP		40	-4	SP	1	China	CH	CH		35	105	CH	20171110141500	http://www.africanews.com/2017/11/10/trump-lauds-china-during-visit-uk-minister-resigns-over-secret-israel-trip/
705696740	20171110	201711	2017	2017.8493	CHN	CHINA	CHN								ISR	ISRAEL	ISR								1	0831	083	08	2	5.0	1	1	1	-7.14285714285715	1	China	CH	CH		35	105	CH	1	United Kingdom	UK	UK		54	-4	UK	1	China	CH	CH		35	105	CH	20171110141500	http://www.africanews.com/2017/11/10/trump-lauds-china-during-visit-uk-minister-resigns-over-secret-israel-trip/
705696741	20171110	201711	2017	2017.8493	CHN	CHINA	CHN								ISR	ISRAEL	ISR								1	0831	083	08	2	5.0	4	1	4	-7.14285714285715	1	Spain	SP	SP		40	-4	SP	1	Spain	SP	SP		40	-4	SP	1	Spain	SP	SP		40	-4	SP	20171110141500	http://www.africanews.com/2017/11/10/trump-lauds-china-during-visit-uk-minister-resigns-over-secret-israel-trip/
705696742	20171110	201711	2017	2017.8493	CHN	CHINA	CHN								JPN	JAPAN	JPN								0	043	043	04	1	2.8	6	1	6	4.20168067226891	4	Great Wall, China (general), China	CH	CH00	13077	39.9667	119.8	-1930117	1	Japan	JA	JA		36	138	JA	4	Great Wall, China (general), China	CH	CH00	13077	39.9667	119.8	-1930117	20171110141500	http://www.newsweek.com/photos-melania-trump-asia-707842
705696743	20171110	201711	2017	2017.8493	CHN	CHINA	CHN								JPN	JAPAN	JPN								0	043	043	04	1	2.8	2	1	2	4.20168067226891	4	Great Wall, China (general), China	CH	CH00	13077	39.9667	119.8	-1930117	1	Japan	JA	JA		36	138	JA	1	South Korea	KS	KS		37	127.5	KS	20171110141500	http://www.newsweek.com/photos-melania-trump-asia-707842
705696744	20171110	201711	2017	2017.8493	CHN	CHINA	CHN								JPN	JAPAN	JPN								0	043	043	04	1	2.8	2	1	2	-7.14285714285714	1	North Korea	KN	KN		40	127	KN	1	North Korea	KN	KN		40	127	KN	1	North Korea	KN	KN		40	127	KN	20171110141500	http://www.independent.co.uk/news/world/asia/trump-philippines-visit-manila-protest-us-president-warmonger-rodrigo-duterte-a8047871.html
705696745	20171110	201711	2017	2017.8493	CHN	CHINA	CHN								JPN	JAPAN	JPN								0	043	043	04	1	2.8	2	1	2	4.20168067226891	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	20171110141500	http://www.newsweek.com/photos-melania-trump-asia-707842
705696746	20171110	201711	2017	2017.8493	CHN	CHINA	CHN								KOR	SOUTH KOREA	KOR								0	043	043	04	1	2.8	2	1	2	4.20168067226891	4	Great Wall, China (general), China	CH	CH00	13077	39.9667	119.8	-1930117	1	Japan	JA	JA		36	138	JA	1	South Korea	KS	KS		37	127.5	KS	20171110141500	http://www.newsweek.com/photos-melania-trump-asia-707842
