704286964	20171007	201710	2017	2017.7589	THA	THAILAND	THA								MED	MEDIA						MED			1	043	043	04	1	2.8	2	1	2	0.60975609756097	4	Pattani, Pattani, Thailand	TH	TH69	26824	6.8749	101.255	-3252536	4	Pattani, Pattani, Thailand	TH	TH69	26824	6.8749	101.255	-3252536	4	Betong, Sarawak, Malaysia	MY	MY11	18585	1.4	111.517	-2401212	20171106111500	http://www.bernama.com/bernama/v8/fe/newsfeatures.php?id=1407738
704286965	20171007	201710	2017	2017.7589	THA	THAILAND	THA								MED	MEDIA						MED			1	043	043	04	1	2.8	8	1	8	0.60975609756097	4	Pattani, Pattani, Thailand	TH	TH69	26824	6.8749	101.255	-3252536	4	Pattani, Pattani, Thailand	TH	TH69	26824	6.8749	101.255	-3252536	4	Pattani, Pattani, Thailand	TH	TH69	26824	6.8749	101.255	-3252536	20171106111500	http://www.bernama.com/bernama/v8/fe/newsfeatures.php?id=1407738
704286966	20171007	201710	2017	2017.7589	USAGUMJUD	GUAM	USA					JUD			USAGUM	GUAM	USA								1	110	110	11	3	-2.0	2	1	2	-8.49056603773585	1	Guam	GQ	GQ		13.2613	145.096	GQ	1	Guam	GQ	GQ		13.2613	145.096	GQ	1	Guam	GQ	GQ		13.2613	145.096	GQ	20171106111500	http://pacificnewscenter.com/wong-takes-section-8-fraud-case-to-9th-circuit/
704286967	20171007	201710	2017	2017.7589	USAGUMJUD	GUAM	USA					JUD			USAGUM	GUAM	USA								1	120	120	12	3	-4.0	2	1	2	-8.49056603773585	1	Guam	GQ	GQ		13.2613	145.096	GQ	1	Guam	GQ	GQ		13.2613	145.096	GQ	1	Guam	GQ	GQ		13.2613	145.096	GQ	20171106111500	http://pacificnewscenter.com/wong-takes-section-8-fraud-case-to-9th-circuit/
704286968	20171030	201710	2017	2017.8219											TUR	TURKEY	TUR								1	040	040	04	1	1.0	4	1	4	-2.58620689655173	0								4	Mazi, Mugla, Turkey	TU	TU48	16708	37.0333	27.7333	-764763	4	Mazi, Mugla, Turkey	TU	TU48	16708	37.0333	27.7333	-764763	20171106111500	http://www.croydonadvertiser.co.uk/news/croydon-news/croydon-restaurants-attempt-specifically-hire-709064
704286969	20171030	201710	2017	2017.8219	AUS	AUSTRALIA	AUS																		1	010	010	01	1	0.0	4	1	4	2.41545893719807	4	Gympie, Queensland, Australia	AS	AS04	154693	-26.1892	152.658	-1577181	0								4	Gympie, Queensland, Australia	AS	AS04	154693	-26.1892	152.658	-1577181	20171106111500	https://renewablesnow.com/news/queensland-solar-project-of-350-mw-gets-council-nod-589829/
704286970	20171030	201710	2017	2017.8219	AUS	AUSTRALIAN	AUS																		1	030	030	03	1	4.0	10	1	10	2.41545893719807	4	Wonga, Queensland, Australia	AS	AS04	40202	-16.3333	145.417	334030	0								4	Wonga, Queensland, Australia	AS	AS04	40202	-16.3333	145.417	334030	20171106111500	https://renewablesnow.com/news/queensland-solar-project-of-350-mw-gets-council-nod-589829/
704286971	20171030	201710	2017	2017.8219	LAB	WORKER						LAB			AFR	AFRICA	AFR								1	040	040	04	1	1.0	2	1	2	-3.48258706467661	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	20171106111500	http://www.enca.com/south-africa/union-to-march-against-retrenchments-at-sibanye-stillwater-s-sa-operations
704286972	20171030	201710	2017	2017.8219	TUR	TURKEY	TUR																		1	040	040	04	1	1.0	4	1	4	-2.58620689655173	4	Mazi, Mugla, Turkey	TU	TU48	16708	37.0333	27.7333	-764763	0								4	Mazi, Mugla, Turkey	TU	TU48	16708	37.0333	27.7333	-764763	20171106111500	http://www.croydonadvertiser.co.uk/news/croydon-news/croydon-restaurants-attempt-specifically-hire-709064
704286973	20171030	201710	2017	2017.8219	USA	THE US	USA								IRL	IRISH	IRL								0	020	020	02	1	3.0	3	1	3	0.42643923240938	1	Honduras	HO	HO		15	-86.5	HO	1	Honduras	HO	HO		15	-86.5	HO	1	Honduras	HO	HO		15	-86.5	HO	20171106111500	https://www.rte.ie/news/business/2017/1106/917766-today-in-the-press/
