704155127	20171105	201711	2017	2017.8356	CHRCTH	CATHOLIC				CHR	CTH				EDU	SCHOOL						EDU			0	042	042	04	1	1.9	3	1	3	-1.417004048583	3	Des Moines, Iowa, United States	US	USIA	IA153	41.6005	-93.6091	465961	3	Des Moines, Iowa, United States	US	USIA		41.6005	-93.6091	465961	3	Des Moines, Iowa, United States	US	USIA		41.6005	-93.6091	465961	20171105230000	http://www.desmoinesregister.com/story/news/politics/2017/11/05/michael-kiernan-josh-mandelbaum-abshir-omar-des-moines-city-council-ward-3/813555001/
704155128	20171105	201711	2017	2017.8356	CHRCTH	BENEDICT XVI				CHR	CTH				REL	PRIEST									0	013	013	01	1	0.4	10	1	10	1.77304964539007	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	20171105230000	http://www.catholicworldreport.com/2017/11/05/despite-reports-pope-francis-isnt-opening-the-door-to-all-married-priests/
704155129	20171105	201711	2017	2017.8356	CHROFF032	UNITARIAN				CHR					USA	DALLAS	USA								1	042	042	04	1	1.9	12	3	12	-2.56942295198339	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	20171105230000	https://www.centraltelegraph.com.au/news/jihadi-wife-i-had-children-to-serve-god-as-terrori/3257964/
704155130	20171105	201711	2017	2017.8356	CHRPRO210	LUTHERAN				CHR	PRO														0	111	111	11	3	-2.0	5	1	5	0.55096418732782	0								0								0								20171105230000	https://www.dailypolitical.com/2017/11/05/michael-kors-holdings-limited-kors-coverage-initiated-by-analysts-at-susquehanna-bancshares-inc.html
704155131	20171105	201711	2017	2017.8356	CHRPRO300	PRESBYTERIAN				CHR	PRO				HLH	HOSPITAL						HLH			1	043	043	04	1	2.8	12	1	6	-3.07017543859649	3	Tampa, Florida, United States	US	USFL	FL057	27.9475	-82.4584	292005	3	Tampa, Florida, United States	US	USFL	FL057	27.9475	-82.4584	292005	3	Tampa, Florida, United States	US	USFL	FL057	27.9475	-82.4584	292005	20171105230000	https://www.beckersspine.com/spine/item/37972-dr-william-ricci-to-head-hospital-for-special-surgery-newyork-presbyterian-orthopedic-trauma-service-5-key-notes.html
704155132	20171105	201711	2017	2017.8356	CHRPRO331	CHURCH OF CHRIST				CHR	PRO				USA	UNITED STATES	USA								0	013	013	01	1	0.4	1	1	1	-6.33713561470215	3	Burnette Chapel, Tennessee, United States	US	USTN	TN037	36.0467	-86.5833	1305549	3	Burnette Chapel, Tennessee, United States	US	USTN		36.0467	-86.5833	1305549	3	Burnette Chapel, Tennessee, United States	US	USTN		36.0467	-86.5833	1305549	20171105230000	https://www.theatlantic.com/politics/archive/2017/11/church-shooting-texas/545018/
704155133	20171105	201711	2017	2017.8356	CHRPRO331	CHURCH OF CHRIST				CHR	PRO				USA	UNITED STATES	USA								0	013	013	01	1	0.4	1	1	1	-6.33713561470215	3	Burnette Chapel, Tennessee, United States	US	USTN	TN037	36.0467	-86.5833	1305549	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	20171105230000	https://www.theatlantic.com/politics/archive/2017/11/church-shooting-texas/545018/
704155134	20171105	201711	2017	2017.8356	CHRPRO921	THE CHRISTIAN COMMUNITY				CHR	PRO														1	040	040	04	1	1.0	5	1	5	1.50659133709981	1	Greece	GR	GR		39	22	GR	0								1	Greece	GR	GR		39	22	GR	20171105230000	http://www.catholic.org/news/hf/faith/story.php?id=76313
704155135	20171105	201711	2017	2017.8356	CHRPRO921	THE CHRISTIAN COMMUNITY				CHR	PRO														1	051	051	05	1	3.4	5	1	5	1.50659133709981	2	California, United States	US	USCA		36.17	-119.746	CA	0								2	California, United States	US	USCA		36.17	-119.746	CA	20171105230000	http://www.catholic.org/news/hf/faith/story.php?id=76313
704155136	20171105	201711	2017	2017.8356	COP	DEPUTY						COP													1	010	010	01	1	0.0	2	1	2	-3.80622837370242	3	Houston, Texas, United States	US	USTX	TX201	29.7633	-95.3633	1380948	0								3	Houston, Texas, United States	US	USTX	TX201	29.7633	-95.3633	1380948	20171105230000	http://www.fox35orlando.com/fast-five/police-killer-filmed-shooting-on-snapchat
704155137	20171105	201711	2017	2017.8356	COP	DEPUTY						COP													1	010	010	01	1	0.0	4	1	4	-3.80622837370242	3	Hall County, Texas, United States	US	USTX	TX191	34.5334	-100.684	1383881	0								3	Hall County, Texas, United States	US	USTX		34.5334	-100.684	1383881	20171105230000	http://www.fox35orlando.com/fast-five/police-killer-filmed-shooting-on-snapchat
704155138	20171105	201711	2017	2017.8356	COP	POLICE						COP													1	010	010	01	1	0.0	1	1	1	-7.10526315789473	2	Texas, United States	US	USTX		31.106	-97.6475	TX	0								3	First Baptist Church, Texas, United States	US	USTX		29.3941	-94.9155	1385009	20171105230000	http://www.gwinnettdailypost.com/news/report-at-least-dead-dozens-injured-in-texas-church-shooting/article_cb3c1d12-caaa-55bb-9082-0c80c15fbee5.html
704155139	20171105	201711	2017	2017.8356	COP	POLICE						COP													1	020	020	02	1	3.0	1	1	1	-5.26315789473684	3	South Charleston, West Virginia, United States	US	USWV	WV039	38.3684	-81.6996	1555663	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20171105230000	http://www.washingtontimes.com/news/2017/nov/5/police-2-kids-alone-at-home-holding-sign-asking-fo/
704155140	20171105	201711	2017	2017.8356	COP	POLICE						COP													1	030	030	03	1	4.0	20	2	20	-7.11610486891386	3	Sacramento, California, United States	US	USCA	CA067	38.5816	-121.494	1659564	0								3	Sacramento, California, United States	US	USCA	CA067	38.5816	-121.494	1659564	20171105230000	http://www.kbzk.com/story/36767775/thousands-of-honey-bees-die-after-truck-crash-on-california-freeway
704155141	20171105	201711	2017	2017.8356	COP	POLICE						COP													0	036	036	03	1	4.0	2	1	2	-1.1417697431018	4	Ikeja, Lagos, Nigeria	NI	NI05	191295	6.59422	3.33748	-2011499	0								4	Ikeja, Lagos, Nigeria	NI	NI05	191295	6.59422	3.33748	-2011499	20171105230000	http://news2.onlinenigeria.com/news/general/674106-ibrahim-doesn%E2%80%99t-own-newswatch,-say-ekpu,-agbese,-others.html
704155142	20171105	201711	2017	2017.8356	COP	POLICE						COP													1	051	051	05	1	3.4	10	1	10	3.57142857142857	3	Denver, Colorado, United States	US	USCO	CO031	39.7392	-104.985	201738	0								3	Denver, Colorado, United States	US	USCO	CO031	39.7392	-104.985	201738	20171105230000	http://denver.cbslocal.com/2017/11/05/k9-calendars-police-fundraiser/
704155143	20171105	201711	2017	2017.8356	COP	POLICE						COP													1	090	090	09	2	-2.0	1	1	1	-6.13207547169811	3	Sutherland Springs, Texas, United States	US	USTX	TX493	29.2733	-98.0567	1369438	0								2	Texas, United States	US	USTX		31.106	-97.6475	TX	20171105230000	http://www.rutlandherald.com/articles/report-at-least-20-killed-in-texas-church-shooting/
704155144	20171105	201711	2017	2017.8356	COP	POLICE						COP													1	090	090	09	2	-2.0	4	1	4	-4.34083601286174	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	0								3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	20171105230000	http://freerepublic.com/focus/f-news/3601991/posts
704155145	20171105	201711	2017	2017.8356	COP	POLICE						COP													0	120	120	12	3	-4.0	2	1	2	-5.36494073611978	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	0								4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	20171105230000	http://historynewsnetwork.org/article/167224
704155146	20171105	201711	2017	2017.8356	COP	POLICE						COP													0	120	120	12	3	-4.0	2	1	2	-5.36494073611978	3	New Orleans, Louisiana, United States	US	USLA	LA071	29.9546	-90.0751	1629985	0								3	New Orleans, Louisiana, United States	US	USLA		29.9546	-90.0751	1629985	20171105230000	http://historynewsnetwork.org/article/167224
704155147	20171105	201711	2017	2017.8356	COP	POLICE						COP													0	120	120	12	3	-4.0	6	1	6	-5.36494073611978	3	Atlanta, Georgia, United States	US	USGA	GA121	33.749	-84.388	351615	0								3	Atlanta, Georgia, United States	US	USGA	GA121	33.749	-84.388	351615	20171105230000	http://historynewsnetwork.org/article/167224
704155148	20171105	201711	2017	2017.8356	COP	POLICE						COP													1	173	173	17	4	-5.0	72	12	72	-8.65299651715159	3	Warren County, Kentucky, United States	US	USKY	KY227	36.9834	-86.4	516960	0								3	Warren County, Kentucky, United States	US	USKY		36.9834	-86.4	516960	20171105230000	http://www.theindependent.com/news/politics/the-latest-apnewsbreak-paul-recovering-from-broken-ribs/article_a140ea76-ed75-50ba-b096-051bcbe0314c.html
704155149	20171105	201711	2017	2017.8356	COP	POLICE						COP													0	180	180	18	4	-9.0	78	13	78	-8.66469151171999	2	Kentucky, United States	US	USKY		37.669	-84.6514	KY	0								3	Warren County, Kentucky, United States	US	USKY		36.9834	-86.4	516960	20171105230000	http://www.theindependent.com/news/politics/the-latest-apnewsbreak-paul-recovering-from-broken-ribs/article_a140ea76-ed75-50ba-b096-051bcbe0314c.html
704155150	20171105	201711	2017	2017.8356	COP	POLICE						COP			COPCOP	POLICE						COP	COP		1	013	013	01	1	0.4	6	1	6	-3.02114803625377	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20171105230000	http://www.chicagotribune.com/suburbs/lake-county-news-sun/news/ct-lns-waukegan-forum-st-1106-20171105-story.html
704155151	20171105	201711	2017	2017.8356	COP	POLICE						COP			CVL	COMMUNITY						CVL			1	042	042	04	1	1.9	10	1	10	-7.47126436781609	3	Fresno, California, United States	US	USCA	CA019	36.7477	-119.772	277606	3	Fresno, California, United States	US	USCA	CA019	36.7477	-119.772	277606	3	Fresno, California, United States	US	USCA	CA019	36.7477	-119.772	277606	20171105230000	http://www.yourcentralvalley.com/news/two-shot-outside-fresno-church/851659272
704155152	20171105	201711	2017	2017.8356	COP	POLICE						COP			CVL	RESIDENTS						CVL			0	051	051	05	1	3.4	1	1	1	-1.417004048583	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	20171105230000	http://www.desmoinesregister.com/story/news/politics/2017/11/05/michael-kiernan-josh-mandelbaum-abshir-omar-des-moines-city-council-ward-3/813555001/
704155153	20171105	201711	2017	2017.8356	COP	POLICE						COP			CVL	COMMUNITY						CVL			0	111	111	11	3	-2.0	5	1	5	-3.02114803625377	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20171105230000	http://www.chicagotribune.com/suburbs/lake-county-news-sun/news/ct-lns-waukegan-forum-st-1106-20171105-story.html
704155154	20171105	201711	2017	2017.8356	COP	POLICE						COP			HLH	HOSPITAL						HLH			1	020	020	02	1	3.0	10	1	10	-3.88349514563107	4	Valencia, Carabobo, Venezuela	VE	VE07	31933	10.1806	-68.0039	-960192	4	Valencia, Carabobo, Venezuela	VE	VE07	31933	10.1806	-68.0039	-960192	4	Valencia, Carabobo, Venezuela	VE	VE07	31933	10.1806	-68.0039	-960192	20171105230000	http://wjla.com/news/local/dc-police-ask-for-publics-help-locating-missing-16-year-old-girl-11-05-2017
704155155	20171105	201711	2017	2017.8356	COP	POLICE						COP			HLH	HOSPITAL						HLH			1	073	073	07	2	7.4	4	1	4	-2.34375	3	Coffee County, Georgia, United States	US	USGA	GA069	31.5502	-82.8499	347456	3	Coffee County, Georgia, United States	US	USGA		31.5502	-82.8499	347456	3	Coffee County, Georgia, United States	US	USGA		31.5502	-82.8499	347456	20171105230000	http://www.wtoc.com/story/36767933/man-airlifted-to-macon-hospital-following-high-speed-chase
704155156	20171105	201711	2017	2017.8356	COP	POLICE						COP			HLH	HOSPITAL						HLH			1	073	073	07	2	7.4	2	1	2	-2.34375	3	Coffee County, Georgia, United States	US	USGA	GA069	31.5502	-82.8499	347456	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20171105230000	http://www.wtoc.com/story/36767933/man-airlifted-to-macon-hospital-following-high-speed-chase
704155157	20171105	201711	2017	2017.8356	COP	POLICE						COP			HLH	HOSPITAL						HLH			1	073	073	07	2	7.4	2	1	2	-2.34375	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	3	Coffee County, Georgia, United States	US	USGA		31.5502	-82.8499	347456	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20171105230000	http://www.wtoc.com/story/36767933/man-airlifted-to-macon-hospital-following-high-speed-chase
704155158	20171105	201711	2017	2017.8356	COP	POLICE						COP			HLH	HOSPITAL						HLH			1	090	090	09	2	-2.0	10	1	10	-3.88349514563107	4	Valencia, Carabobo, Venezuela	VE	VE07	31933	10.1806	-68.0039	-960192	4	Valencia, Carabobo, Venezuela	VE	VE07	31933	10.1806	-68.0039	-960192	4	Valencia, Carabobo, Venezuela	VE	VE07	31933	10.1806	-68.0039	-960192	20171105230000	http://wjla.com/news/local/dc-police-ask-for-publics-help-locating-missing-16-year-old-girl-11-05-2017
704155159	20171105	201711	2017	2017.8356	COP	POLICE						COP			JUD	ATTORNEY						JUD			1	010	010	01	1	0.0	2	1	2	-6.74373795761079	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	3	Spalding County, Georgia, United States	US	USGA		33.2668	-84.2833	353055	3	Spalding County, Georgia, United States	US	USGA		33.2668	-84.2833	353055	20171105230000	http://ktla.com/2017/11/05/suspects-in-1983-georgia-slaying-of-black-man-police-coverup-were-angry-he-was-socializing-with-a-white-woman-da-says/
704155160	20171105	201711	2017	2017.8356	COP	TROOPER						COP			LEG	LAWMAKER						LEG			1	084	084	08	2	7.0	3	1	3	-7.46987951807229	3	Charleston, South Carolina, United States	US	USSC	SC019	32.7766	-79.9309	1221516	3	Charleston, South Carolina, United States	US	USSC	SC019	32.7766	-79.9309	1221516	3	Charleston, South Carolina, United States	US	USSC	SC019	32.7766	-79.9309	1221516	20171105230000	http://www.thestate.com/news/politics-government/article182920101.html
704155161	20171105	201711	2017	2017.8356	COP	TROOPER						COP			LEG	LAWMAKER						LEG			1	084	084	08	2	7.0	2	1	2	-7.46987951807229	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	20171105230000	http://www.thestate.com/news/politics-government/article182920101.html
704155162	20171105	201711	2017	2017.8356	COP	POLICE						COP			MCOELI	ALBERT	MCO					ELI			1	010	010	01	1	0.0	6	1	6	-6.66666666666667	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20171105230000	http://www.ladbible.com/news/news-more-than-two-dozen-people-dead-in-texas-church-shooting-20171105
704155163	20171105	201711	2017	2017.8356	COP	POLICE						COP			NGA	NIGERIA	NGA								0	114	114	11	3	-2.0	1	1	1	-1.1417697431018	4	Ikeja, Lagos, Nigeria	NI	NI05	191295	6.59422	3.33748	-2011499	4	Ikeja, Lagos, Nigeria	NI	NI05	191295	6.59422	3.33748	-2011499	4	Ikeja, Lagos, Nigeria	NI	NI05	191295	6.59422	3.33748	-2011499	20171105230000	http://news2.onlinenigeria.com/news/general/674106-ibrahim-doesn%E2%80%99t-own-newswatch,-say-ekpu,-agbese,-others.html
704155164	20171105	201711	2017	2017.8356	COP	SECURITY FORCE						COP			OPP	PROTESTER						OPP			0	190	190	19	4	-10.0	10	1	10	-11.1607142857142	0								0								0								20171105230000	http://www.dailyexcelsior.com/army-foils-infiltration-bid-in-uri-2-militants-killed/
704155165	20171105	201711	2017	2017.8356	COP	POLICE						COP			RAD	EXTREMIST						RAD			1	111	111	11	3	-2.0	5	1	5	-14.1414141414141	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20171105230000	http://www.business-standard.com/article/news-ians/3-killed-after-gunmen-attack-police-in-russia-117110600053_1.html
704155166	20171105	201711	2017	2017.8356	COP	DEPUTY						COP			USA	UNITED STATES	USA								1	010	010	01	1	0.0	1	1	1	-3.80622837370242	3	Hall County, Texas, United States	US	USTX	TX191	34.5334	-100.684	1383881	3	Houston, Texas, United States	US	USTX	TX201	29.7633	-95.3633	1380948	3	Houston, Texas, United States	US	USTX	TX201	29.7633	-95.3633	1380948	20171105230000	http://www.fox35orlando.com/fast-five/police-killer-filmed-shooting-on-snapchat
704155167	20171105	201711	2017	2017.8356	COP	DEPUTY						COP			USA	UNITED STATES	USA								1	010	010	01	1	0.0	1	1	1	-3.80622837370242	3	Hall County, Texas, United States	US	USTX	TX191	34.5334	-100.684	1383881	3	Hall County, Texas, United States	US	USTX		34.5334	-100.684	1383881	3	Hall County, Texas, United States	US	USTX		34.5334	-100.684	1383881	20171105230000	http://www.fox35orlando.com/fast-five/police-killer-filmed-shooting-on-snapchat
704155168	20171105	201711	2017	2017.8356	COP	POLICE						COP			USA	UNITED STATES	USA								1	010	010	01	1	0.0	2	1	2	-6.74373795761079	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	3	Spalding County, Georgia, United States	US	USGA		33.2668	-84.2833	353055	3	Spalding County, Georgia, United States	US	USGA		33.2668	-84.2833	353055	20171105230000	http://ktla.com/2017/11/05/suspects-in-1983-georgia-slaying-of-black-man-police-coverup-were-angry-he-was-socializing-with-a-white-woman-da-says/
704155169	20171105	201711	2017	2017.8356	COP	POLICE						COP			USA	UNITED STATES	USA								1	010	010	01	1	0.0	2	1	2	-7.10526315789473	2	Texas, United States	US	USTX		31.106	-97.6475	TX	3	First Baptist Church, Texas, United States	US	USTX		29.3941	-94.9155	1385009	3	First Baptist Church, Texas, United States	US	USTX		29.3941	-94.9155	1385009	20171105230000	http://www.gwinnettdailypost.com/news/report-at-least-dead-dozens-injured-in-texas-church-shooting/article_cb3c1d12-caaa-55bb-9082-0c80c15fbee5.html
704155170	20171105	201711	2017	2017.8356	COP	TROOPER						COP			USA	UNITED STATES	USA								1	020	020	02	1	3.0	2	1	2	-4.32098765432099	3	Texas Department Of Public Safety, Texas, United States	US	USTX	TX453	30.3263	-97.7242	1348410	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20171105230000	http://www.mystatesman.com/news/local/dps-trooper-dies-after-being-struck-vehicle-temple/IW16HOWlzsV3r6YXR8jQsM/
704155171	20171105	201711	2017	2017.8356	COP	POLICE						COP			USA	TEXAS	USA								1	040	040	04	1	1.0	8	1	8	-8.79120879120879	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20171105230000	http://fox4kc.com/2017/11/05/watch-live-police-hold-news-conference-after-mass-shooting-inside-texas-church/
704155172	20171105	201711	2017	2017.8356	COP	POLICE						COP			USA	UNITED STATES	USA								1	090	090	09	2	-2.0	6	1	6	-4.34083601286174	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	20171105230000	http://freerepublic.com/focus/f-news/3601991/posts
704155173	20171105	201711	2017	2017.8356	COP	POLICE						COP			USA	UNITED STATES	USA								1	090	090	09	2	-2.0	18	3	18	-7.47487570083571	3	San Antonio, Texas, United States	US	USTX	TX029	29.4241	-98.4936	1380951	3	San Antonio, Texas, United States	US	USTX		29.4241	-98.4936	1380951	3	San Antonio, Texas, United States	US	USTX		29.4241	-98.4936	1380951	20171105230000	http://www.fairfieldcitizenonline.com/news/local/article/EXCLUSIVE-SAPD-investigating-home-of-Sutherland-12333675.php
704155174	20171105	201711	2017	2017.8356	COP	POLICE						COP			USA	UNITED STATES	USA								0	112	112	11	3	-2.0	2	1	2	-7.46987951807229	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	20171105230000	http://www.thestate.com/news/politics-government/article182920101.html
704155175	20171105	201711	2017	2017.8356	COP	POLICE						COP			USA	UNITED STATES	USA								1	173	173	17	4	-5.0	2	1	2	-6.74373795761079	3	Spalding County, Georgia, United States	US	USGA	GA255	33.2668	-84.2833	353055	3	Spalding County, Georgia, United States	US	USGA		33.2668	-84.2833	353055	3	Spalding County, Georgia, United States	US	USGA		33.2668	-84.2833	353055	20171105230000	http://ktla.com/2017/11/05/suspects-in-1983-georgia-slaying-of-black-man-police-coverup-were-angry-he-was-socializing-with-a-white-woman-da-says/
704155176	20171105	201711	2017	2017.8356	COP	POLICE						COP			USA	UNITED STATES	USA								1	173	173	17	4	-5.0	2	1	2	-6.74373795761079	3	Spalding County, Georgia, United States	US	USGA	GA255	33.2668	-84.2833	353055	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20171105230000	http://ktla.com/2017/11/05/suspects-in-1983-georgia-slaying-of-black-man-police-coverup-were-angry-he-was-socializing-with-a-white-woman-da-says/
704155177	20171105	201711	2017	2017.8356	COP	POLICE						COP			USA	UNITED STATES	USA								1	173	173	17	4	-5.0	2	1	2	-6.74373795761079	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20171105230000	http://ktla.com/2017/11/05/suspects-in-1983-georgia-slaying-of-black-man-police-coverup-were-angry-he-was-socializing-with-a-white-woman-da-says/
704155178	20171105	201711	2017	2017.8356	COP	POLICE FORCE						COP			USA	UNITED STATES	USA								0	190	190	19	4	-10.0	4	1	4	-5.23076923076923	3	Charleston, South Carolina, United States	US	USSC	SC019	32.7766	-79.9309	1221516	3	Charleston, South Carolina, United States	US	USSC	SC019	32.7766	-79.9309	1221516	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20171105230000	http://www.presstv.com/Detail/2017/11/05/541137/Texas-mass-shooting-claims-27-lives
704155179	20171105	201711	2017	2017.8356	COP	POLICE						COP			USA	UNITED STATES	USA								1	190	190	19	4	-10.0	6	1	6	-2.34375	3	Coffee Regional Medical Center, Georgia, United States	US	USGA	GA069	31.5103	-82.8633	345052	3	Coffee Regional Medical Center, Georgia, United States	US	USGA		31.5103	-82.8633	345052	3	Coffee Regional Medical Center, Georgia, United States	US	USGA		31.5103	-82.8633	345052	20171105230000	http://www.wtoc.com/story/36767933/man-airlifted-to-macon-hospital-following-high-speed-chase
704155180	20171105	201711	2017	2017.8356	COP	POLICE						COP			USA	UNITED STATES	USA								1	190	190	19	4	-10.0	2	1	2	-2.34375	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	3	Westgreen, Georgia, United States	US	USGA	GA069	31.613	-82.7346	356628	20171105230000	http://www.wtoc.com/story/36767933/man-airlifted-to-macon-hospital-following-high-speed-chase
704155181	20171105	201711	2017	2017.8356	COP	POLICE FORCE						COP			USA	UNITED STATES	USA								0	190	190	19	4	-10.0	4	1	4	-5.23076923076923	2	Texas, United States	US	USTX		31.106	-97.6475	TX	3	Charleston, South Carolina, United States	US	USSC	SC019	32.7766	-79.9309	1221516	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20171105230000	http://www.presstv.com/Detail/2017/11/05/541137/Texas-mass-shooting-claims-27-lives
704155182	20171105	201711	2017	2017.8356	COP	POLICE						COP			USA	SOUTH DAKOTA	USA								1	193	193	19	4	-10.0	7	1	7	-7.60869565217391	3	Sioux Falls, South Dakota, United States	US	USSD	SD099	43.55	-96.7003	1267670	3	Sioux Falls, South Dakota, United States	US	USSD		43.55	-96.7003	1267670	3	Sioux Falls, South Dakota, United States	US	USSD		43.55	-96.7003	1267670	20171105230000	http://siouxcityjournal.com/news/state-and-regional/south-dakota/police-man-dead-in-sioux-falls-shooting/article_03073489-84b2-5c4b-ab34-a925fbf73248.html
704155183	20171105	201711	2017	2017.8356	COP	POLICE						COP			USA	UNITED STATES	USA								1	193	193	19	4	-10.0	24	4	24	-6.69136577884222	3	Sutherland Springs, Texas, United States	US	USTX	TX493	29.2733	-98.0567	1369438	3	Sutherland Springs, Texas, United States	US	USTX		29.2733	-98.0567	1369438	3	Sutherland Springs, Texas, United States	US	USTX		29.2733	-98.0567	1369438	20171105230000	http://www.fairfieldcitizenonline.com/news/local/article/EXCLUSIVE-SAPD-investigating-home-of-Sutherland-12333675.php
704155184	20171105	201711	2017	2017.8356	COP	POLICE						COP			USAJUD	UNITED STATES	USA					JUD			1	010	010	01	1	0.0	2	1	2	-6.74373795761079	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	3	Spalding County, Georgia, United States	US	USGA		33.2668	-84.2833	353055	3	Spalding County, Georgia, United States	US	USGA		33.2668	-84.2833	353055	20171105230000	http://ktla.com/2017/11/05/suspects-in-1983-georgia-slaying-of-black-man-police-coverup-were-angry-he-was-socializing-with-a-white-woman-da-says/
704155185	20171105	201711	2017	2017.8356	COP	DEPUTIES						COP			USAMED	REUTERS	USA					MED			0	013	013	01	1	0.4	2	1	2	-6.22641509433963	3	Wilson County, Texas, United States	US	USTX	TX493	29.1669	-98.0669	1384032	3	Guadalupe County, Texas, United States	US	USTX		29.5669	-97.9669	1383879	3	Guadalupe County, Texas, United States	US	USTX		29.5669	-97.9669	1383879	20171105230000	https://uk.news.yahoo.com/several-people-shot-texas-church-witnesses-tell-cbs-190759978.html
704155186	20171105	201711	2017	2017.8356	COP	POLICE						COP			dak	SIOUX			dak						1	042	042	04	1	1.9	10	1	10	-6.25	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20171105230000	http://www.argusleader.com/story/news/crime/2017/11/05/police-one-dead-after-sunday-morning-shooting/834340001/
704155187	20171105	201711	2017	2017.8356	COPGOV	DEPUTY						COP	GOV		EGY	EGYPT	EGY								1	040	040	04	1	1.0	8	1	8	-3.86740331491713	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	20171105230000	http://www.copts-united.com/English/Details.php?I=2019&A=32876
704155188	20171105	201711	2017	2017.8356	COPGOV	DEPUTY						COP	GOV		EGY	EGYPT	EGY								1	040	040	04	1	1.0	2	1	2	-3.86740331491713	1	Italy	IT	IT		42.833333	12.833333	IT	4	Geneva, Genè, Switzerland	SZ	SZ07	16329	46.1956	6.14811	-2552151	1	Italy	IT	IT		42.833333	12.833333	IT	20171105230000	http://www.copts-united.com/English/Details.php?I=2019&A=32876
