703259483	20171102	201711	2017	2017.8274	BLR	BELARUSIAN	BLR								UKR	UKRAINIAN	UKR								1	040	040	04	1	1.0	2	1	2	-1.5748031496063	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20171102113000	https://www.rferl.org/a/lukashenka-poroshenko-meet-abu-dhabi-ukraine-belarus/28831077.html
703259484	20171102	201711	2017	2017.8274	BLR	BELARUSIAN	BLR								UKR	UKRAINIAN	UKR								1	046	046	04	1	7.0	2	1	2	-1.5748031496063	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20171102113000	https://www.rferl.org/a/lukashenka-poroshenko-meet-abu-dhabi-ukraine-belarus/28831077.html
703259485	20171102	201711	2017	2017.8274	BLRGOV	BELARUSIAN	BLR					GOV			UKRGOV	UKRAINIAN	UKR					GOV			1	040	040	04	1	1.0	6	1	6	-1.5748031496063	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20171102113000	https://www.rferl.org/a/lukashenka-poroshenko-meet-abu-dhabi-ukraine-belarus/28831077.html
703259486	20171102	201711	2017	2017.8274	BLRGOV	BELARUSIAN	BLR					GOV			UKRGOV	UKRAINIAN	UKR					GOV			1	046	046	04	1	7.0	6	1	6	-1.5748031496063	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20171102113000	https://www.rferl.org/a/lukashenka-poroshenko-meet-abu-dhabi-ukraine-belarus/28831077.html
703259487	20171102	201711	2017	2017.8274	BLRGOVMED	BELARUSIAN	BLR					GOV	MED												1	040	040	04	1	1.0	4	1	4	-1.5748031496063	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	0								4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	20171102113000	https://www.rferl.org/a/lukashenka-poroshenko-meet-abu-dhabi-ukraine-belarus/28831077.html
703259488	20171102	201711	2017	2017.8274	BLRGOVMED	BELARUS	BLR					GOV	MED												1	040	040	04	1	1.0	2	1	2	-1.5748031496063	1	United Arab Emirates	AE	AE		24	54	AE	0								4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	20171102113000	https://www.rferl.org/a/lukashenka-poroshenko-meet-abu-dhabi-ukraine-belarus/28831077.html
703259489	20171102	201711	2017	2017.8274	BLRGOVMED	BELARUSIAN	BLR					GOV	MED		ARE	ABU DHABI	ARE								1	040	040	04	1	1.0	4	1	4	-1.5748031496063	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	20171102113000	https://www.rferl.org/a/lukashenka-poroshenko-meet-abu-dhabi-ukraine-belarus/28831077.html
703259490	20171102	201711	2017	2017.8274	BLRGOVMED	BELARUS	BLR					GOV	MED		ARE	ABU DHABI	ARE								1	040	040	04	1	1.0	2	1	2	-1.5748031496063	1	United Arab Emirates	AE	AE		24	54	AE	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	20171102113000	https://www.rferl.org/a/lukashenka-poroshenko-meet-abu-dhabi-ukraine-belarus/28831077.html
703259491	20171102	201711	2017	2017.8274	BLRGOVMED	BELARUS	BLR					GOV	MED		BLR	BELARUSIAN	BLR								1	040	040	04	1	1.0	2	1	2	-1.5748031496063	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	20171102113000	https://www.rferl.org/a/lukashenka-poroshenko-meet-abu-dhabi-ukraine-belarus/28831077.html
703259492	20171102	201711	2017	2017.8274	BLZGOVMIL	GEORGE P	BLZ					GOV	MIL		USA	TEXAS	USA								1	043	043	04	1	2.8	20	1	20	1.52838427947598	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20171102113000	http://www.chron.com/neighborhood/business/energy/article/Layne-Christensen-partners-with-Texas-to-drill-12324280.php
703259493	20171102	201711	2017	2017.8274	BTN	BHUTAN	BTN																		0	010	010	01	1	0.0	2	1	2	6.0702875399361	1	Bhutan	BT	BT		27.5	90.5	BT	0								1	India	IN	IN		20	77	IN	20171102113000	http://newstrackindia.com/newsdetails/2017/11/2/3-King-of-Bhutan-calls-on-the-President-of-India-Ram-Nath-Kovind.html
703259494	20171102	201711	2017	2017.8274	BTNGOV	BHUTAN	BTN					GOV			BTNGOV	JIGME KHESAR NAMGYEL WANGCHUCK	BTN					GOV			1	051	051	05	1	3.4	5	1	5	6.0702875399361	1	Bhutan	BT	BT		27.5	90.5	BT	1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20171102113000	http://newstrackindia.com/newsdetails/2017/11/2/3-King-of-Bhutan-calls-on-the-President-of-India-Ram-Nath-Kovind.html
703259495	20171102	201711	2017	2017.8274	BTNGOV	BHUTAN	BTN					GOV			GOV	PRESIDENT						GOV			1	020	020	02	1	3.0	2	1	2	6.0702875399361	1	Bhutan	BT	BT		27.5	90.5	BT	1	Bhutan	BT	BT		27.5	90.5	BT	1	Bhutan	BT	BT		27.5	90.5	BT	20171102113000	http://newstrackindia.com/newsdetails/2017/11/2/3-King-of-Bhutan-calls-on-the-President-of-India-Ram-Nath-Kovind.html
703259496	20171102	201711	2017	2017.8274	BTNGOV	BHUTAN	BTN					GOV			GOV	PRESIDENT						GOV			1	020	020	02	1	3.0	8	1	8	6.0702875399361	1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20171102113000	http://newstrackindia.com/newsdetails/2017/11/2/3-King-of-Bhutan-calls-on-the-President-of-India-Ram-Nath-Kovind.html
703259497	20171102	201711	2017	2017.8274	BTNGOV	BHUTAN	BTN					GOV			GOV	KING						GOV			1	051	051	05	1	3.4	5	1	5	6.0702875399361	1	Bhutan	BT	BT		27.5	90.5	BT	1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20171102113000	http://newstrackindia.com/newsdetails/2017/11/2/3-King-of-Bhutan-calls-on-the-President-of-India-Ram-Nath-Kovind.html
703259498	20171102	201711	2017	2017.8274	BUS	COMPANY						BUS													1	010	010	01	1	0.0	3	1	3	-1.0989010989011	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	0								3	Cincinnati, Ohio, United States	US	USOH	OH061	39.162	-84.4569	1066650	20171102113000	http://www.businesswire.com/news/home/20171102005717/en/Cincinnati-Bell-Reports-Quarter-2017-Results
703259499	20171102	201711	2017	2017.8274	BUS	BANK						BUS													1	012	012	01	1	-0.4	10	1	10	-1.58730158730159	4	Manchester, Manchester, United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	0								4	Manchester, Manchester, United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	20171102113000	http://www.theolivepress.es/spain-news/2017/11/02/fears-growing-for-missing-british-father-last-seen-at-malaga-airport-two-days-ago/
703259500	20171102	201711	2017	2017.8274	BUS	INDUSTRY						BUS													1	012	012	01	1	-0.4	5	1	5	-1.72413793103449	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	0								4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	20171102113000	https://dnd.com.pk/khaqan-regrets-unwarranted-criticism-on-govt-policies/135035
703259501	20171102	201711	2017	2017.8274	BUS	COMPANIES						BUS													0	012	012	01	1	-0.4	10	1	10	1.58311345646438	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	0								2	Missouri, United States	US	USMO		38.4623	-92.302	MO	20171102113000	http://www.hydrogenfuelnews.com/st-louis-has-new-plans-for-renewable-energy-and-its-future/8533318/
703259502	20171102	201711	2017	2017.8274	BUS	INVESTOR						BUS													0	014	014	01	1	0.0	6	1	6	-1.16279069767442	4	Acacia, Northern Cape, South Africa	SF	SF08	77359	-30.6333	24.9833	-1206144	0								4	Acacia, Northern Cape, South Africa	SF	SF08	77359	-30.6333	24.9833	-1206144	20171102113000	http://www.miningweekly.com/article/guptas-inflated-oakbay-price-ghrough-trading-by-singapore-firm-2017-11-02/rep_id:3650
703259503	20171102	201711	2017	2017.8274	BUS	INVESTOR						BUS													0	014	014	01	1	0.0	2	1	2	-1.16279069767442	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	0								4	Acacia, Northern Cape, South Africa	SF	SF08	77359	-30.6333	24.9833	-1206144	20171102113000	http://www.miningweekly.com/article/guptas-inflated-oakbay-price-ghrough-trading-by-singapore-firm-2017-11-02/rep_id:3650
703259504	20171102	201711	2017	2017.8274	BUS	INVESTOR						BUS													0	014	014	01	1	0.0	2	1	2	-1.16279069767442	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	0								4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20171102113000	http://www.miningweekly.com/article/guptas-inflated-oakbay-price-ghrough-trading-by-singapore-firm-2017-11-02/rep_id:3650
703259505	20171102	201711	2017	2017.8274	BUS	BUSINESS						BUS													1	030	030	03	1	4.0	10	1	10	-0.26881720430108	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	0								4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171102113000	http://www.thebeijinger.com/blog/2017/11/02/sign-times-beijing-skyline-be-scrubbed-clean-rooftop-advertisments
703259506	20171102	201711	2017	2017.8274	BUS	INVESTOR						BUS													1	0311	031	03	1	5.2	10	1	10	3.68763557483731	1	Denmark	DA	DA		56	10	DA	0								1	Denmark	DA	DA		56	10	DA	20171102113000	https://www.fin24.com/Economy/critical-time-for-sas-water-sanitation-planning-20171016
703259507	20171102	201711	2017	2017.8274	BUS	AEROSPACE						BUS													1	036	036	03	1	4.0	2	1	2	1.89125295508274	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	0								4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20171102113000	http://www.zawya.com/mena/en/story/160_aircraft_to_feature_in_Dubai_Airshow_static_display-SNG_102659078/
703259508	20171102	201711	2017	2017.8274	BUS	COMPANY						BUS													0	040	040	04	1	1.0	10	1	10	-0.60422960725076	4	Modjo, Oromiya, Ethiopia	ET	ET51	149289	8.6	39.1167	-617639	0								4	Modjo, Oromiya, Ethiopia	ET	ET51	149289	8.6	39.1167	-617639	20171102113000	https://addisfortune.net/articles/text-message-technology-to-assist-imports/
703259509	20171102	201711	2017	2017.8274	BUS	BANK						BUS													1	040	040	04	1	1.0	6	1	6	0	1	Lebanon	LE	LE		33.833333	35.833333	LE	0								1	Lebanon	LE	LE		33.833333	35.833333	LE	20171102113000	https://www.lbcgroup.tv/news/lebanon-news/343917/president-aoun-meets-association-of-banks-delegati/en
703259510	20171102	201711	2017	2017.8274	BUS	INDUSTRY						BUS													1	042	042	04	1	1.9	3	1	3	-1.95121951219513	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	0								2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20171102113000	https://www.marketwatch.com/story/accomplished-biopharma-executive-mina-sooch-joins-biovie-board-of-directors-and-purchases-company-stock-2017-11-02
703259511	20171102	201711	2017	2017.8274	BUS	INVESTOR						BUS													1	045	045	04	1	5.0	10	1	5	0	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	0								4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	20171102113000	https://www.bangkokpost.com/business/finance/1353323/set-closes-down-12-62-to-1-701-93
703259512	20171102	201711	2017	2017.8274	BUS	COMPANY						BUS													1	046	046	04	1	7.0	3	1	3	1.86393289841565	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	0								2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	20171102113000	https://www.marketwatch.com/investing/stock/tpx
703259513	20171102	201711	2017	2017.8274	BUS	EMPLOYER						BUS													0	051	051	05	1	3.4	10	1	10	-0.25445292620866	5	Gauteng, Gauteng, South Africa	SF	SF06	77346	-26.0833	28.25	204226	0								5	Gauteng, Gauteng, South Africa	SF	SF06	77346	-26.0833	28.25	204226	20171102113000	http://www.polity.org.za/article/gcis-cabinet-approves-the-national-minimum-wage-bill-basic-conditions-of-employment-amendment-bill-and-labour-relations-amendment-bill-2017-11-02
703259514	20171102	201711	2017	2017.8274	BUS	INDUSTRY						BUS													0	051	051	05	1	3.4	3	1	3	4.4846577498033	1	Malaysia	MY	MY		2.5	112.5	MY	0								1	Malaysia	MY	MY		2.5	112.5	MY	20171102113000	https://computerworld.com.sg/tech/emerging-technology/the-industry-reacts-how-will-budget-2018-change-malaysias-it-industry/
703259515	20171102	201711	2017	2017.8274	BUS	BUSINESS						BUS													1	051	051	05	1	3.4	6	1	6	2.02898550724638	1	Zambia	ZA	ZA		-15	30	ZA	0								4	Shinyanga, Shinyanga, Tanzania	TZ	TZ15	18585	-3.66667	33.4333	-2573499	20171102113000	https://24tanzania.com/new-tata-model-excels-in-tanzania/
703259516	20171102	201711	2017	2017.8274	BUS	EMPLOYER						BUS													0	057	057	05	1	8.0	10	1	10	-0.25445292620866	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	0								4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	20171102113000	http://www.polity.org.za/article/gcis-cabinet-approves-the-national-minimum-wage-bill-basic-conditions-of-employment-amendment-bill-and-labour-relations-amendment-bill-2017-11-02
703259517	20171102	201711	2017	2017.8274	BUS	COMPANY						BUS													1	061	061	06	2	6.4	3	1	3	3.01204819277109	4	Roverbella, Lombardia, Italy	IT	IT09	18419	45.2667	10.7667	-126917	0								4	Roverbella, Lombardia, Italy	IT	IT09	18419	45.2667	10.7667	-126917	20171102113000	http://www.dredgingtoday.com/2017/11/02/sace-working-hand-in-hand-with-dragflow/
703259518	20171102	201711	2017	2017.8274	BUS	COMPANY						BUS													1	061	061	06	2	6.4	20	1	20	0.70671378091873	4	Kolkata, West Bengal, India	IN	IN28	70294	22.5697	88.3697	-2092511	0								4	Kolkata, West Bengal, India	IN	IN28	70294	22.5697	88.3697	-2092511	20171102113000	https://economictimes.indiatimes.com/industry/cons-products/fmcg/itc-launches-new-farmland-brand-to-sell-potato-based-products/articleshow/61455289.cms
703259519	20171102	201711	2017	2017.8274	BUS	COMPANY						BUS													1	061	061	06	2	6.4	2	1	2	3.01204819277109	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	0								4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20171102113000	http://www.dredgingtoday.com/2017/11/02/sace-working-hand-in-hand-with-dragflow/
703259520	20171102	201711	2017	2017.8274	BUS	INVESTOR						BUS													1	071	071	07	2	7.4	5	1	5	0.766283524904216	3	Green River, Utah, United States	US	USUT	UT015	38.9953	-110.162	1428398	0								3	Green River, Utah, United States	US	USUT		38.9953	-110.162	1428398	20171102113000	https://www.dailypolitical.com/2017/11/02/ameritas-investment-partners-inc-invests-186000-in-ultra-petroleum-corp-upl-stock.html
703259521	20171102	201711	2017	2017.8274	BUS	COMPANY						BUS													1	071	071	07	2	7.4	10	1	10	0	4	Haryana, Haryana, India	IN	IN10	17660	29.6161	76.9806	6210381	0								4	Haryana, Haryana, India	IN	IN10	17660	29.6161	76.9806	6210381	20171102113000	https://auto.economictimes.indiatimes.com/news/two-wheelers/scooters-mopeds/twenty-two-motors-aims-to-sell-50000-electric-scooters-after-its-launch/61457370
703259522	20171102	201711	2017	2017.8274	BUS	INVESTOR						BUS													1	071	071	07	2	7.4	5	1	5	0.766283524904216	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	0								2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	20171102113000	https://www.dailypolitical.com/2017/11/02/ameritas-investment-partners-inc-invests-186000-in-ultra-petroleum-corp-upl-stock.html
703259523	20171102	201711	2017	2017.8274	BUS	BUSINESS						BUS													1	073	073	07	2	7.4	10	1	10	2.22882615156018	1	China	CH	CH		35	105	CH	0								1	China	CH	CH		35	105	CH	20171102113000	http://www.miningweekly.com/article/afrimat-continues-ramp-up-of-new-iron-ore-asset-diro-2017-11-02
703259524	20171102	201711	2017	2017.8274	BUS	INDUSTRY						BUS													1	0831	083	08	2	5.0	3	1	3	1.86393289841565	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	0								2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	20171102113000	https://www.marketwatch.com/investing/stock/tpx
703259525	20171102	201711	2017	2017.8274	BUS	BUSINESS						BUS													0	090	090	09	2	-2.0	3	1	3	-4.68417317246274	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	0								3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	20171102113000	http://www.renewamerica.com/news.php?s=17275
703259526	20171102	201711	2017	2017.8274	BUS	BOSS						BUS													1	100	100	10	3	-5.0	2	1	2	-8.67579908675797	4	Abuja, Abuja Federal Capital Territory, Nigeria	NI	NI11	191147	9.08333	7.53333	-1997013	0								5	Federal Capital Territory, Abuja Federal Capital Territory, Nigeria	NI	NI11	22778	8.83333	7.16667	-1997015	20171102113000	http://dailypost.ng/2017/11/02/maina-court-orders-efcc-police-arrest-ex-pension-boss/
703259527	20171102	201711	2017	2017.8274	BUS	INDUSTRY						BUS													1	100	100	10	3	-5.0	5	1	5	-1.72413793103449	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	0								4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	20171102113000	https://dnd.com.pk/khaqan-regrets-unwarranted-criticism-on-govt-policies/135035
703259528	20171102	201711	2017	2017.8274	BUS	COMPANIES						BUS													1	114	114	11	3	-2.0	20	1	20	-1.51515151515152	4	Mahanadi, India (general), India	IN	IN00	70263	24.95	81.5333	-2103124	0								4	Mahanadi, India (general), India	IN	IN00	70263	24.95	81.5333	-2103124	20171102113000	http://articles.economictimes.indiatimes.com/industry/indl-goods/svs/metals-mining/coal-india-misses-production-target-by-15-mt/articleshow/61455237.cms
703259529	20171102	201711	2017	2017.8274	BUS	INDUSTRY						BUS													1	120	120	12	3	-4.0	5	1	5	-1.72413793103449	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	0								4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	20171102113000	https://dnd.com.pk/khaqan-regrets-unwarranted-criticism-on-govt-policies/135035
703259530	20171102	201711	2017	2017.8274	BUS	BUSINESS						BUS													0	120	120	12	3	-4.0	10	1	10	-0.66445182724253	3	City Of Georgetown, Texas, United States	US	USTX	TX491	30.6651	-97.6921	2410584	0								3	City Of Georgetown, Texas, United States	US	USTX		30.6651	-97.6921	2410584	20171102113000	http://www.businesswire.com/news/home/20171102005712/en/NRG-Energy-Reports-Quarter-Results-Remains-Track
703259531	20171102	201711	2017	2017.8274	BUS	BANK						BUS													1	193	193	19	4	-10.0	4	1	4	1.16822429906542	4	Bridport, Dorset, United Kingdom	UK	UKD6	40105	50.7333	-2.71667	-2590868	0								4	Bridport, Dorset, United Kingdom	UK	UKD6	40105	50.7333	-2.71667	-2590868	20171102113000	http://www.dailymail.co.uk/sciencetech/article-5042385/Stunning-images-Milky-Way-incredible-detail.html
703259532	20171102	201711	2017	2017.8274	BUS	CORPORATION						BUS			AFR	AFRICA	AFR								1	010	010	01	1	0.0	4	1	4	-1.61616161616162	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	20171102113000	https://www.fin24.com/Companies/idc-no-prejudice-in-oakbay-delisting-20170707
703259533	20171102	201711	2017	2017.8274	BUS	CORPORATION						BUS			AFR	AFRICA	AFR								1	057	057	05	1	8.0	4	1	4	-4.11840411840412	4	Atteridgeville, Gauteng, South Africa	SF	SF06	77346	-25.7704	28.0807	-1208058	4	Atteridgeville, Gauteng, South Africa	SF	SF06	77346	-25.7704	28.0807	-1208058	4	Atteridgeville, Gauteng, South Africa	SF	SF06	77346	-25.7704	28.0807	-1208058	20171102113000	http://www.capetalk.co.za/articles/278967/hands-on-panyaza-lesufi-maps-out-his-plans-for-schools-in-gauteng
703259534	20171102	201711	2017	2017.8274	BUS	COMPANIES						BUS			BHR	BAHRAIN	BHR								1	080	080	08	2	5.0	10	1	10	4.86486486486486	1	Bahrain	BA	BA		26	50.5	BA	1	Bahrain	BA	BA		26	50.5	BA	1	Bahrain	BA	BA		26	50.5	BA	20171102113000	http://www.constructionweekonline.com/article-46970-bahrain-housing-ministry-hands-over-4800-northern-city-units/
703259535	20171102	201711	2017	2017.8274	BUS	COMPANIES						BUS			CAN	CANADA	CAN								0	012	012	01	1	-0.4	4	1	4	2.97766749379653	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	20171102113000	http://journalofcommerce.com/Economic/News/2017/11/Uncertainty-cautious-optimism-surround-Aecon-deal-1028604W/
703259536	20171102	201711	2017	2017.8274	BUS	COMPANY						BUS			CHL	CHILE	CHL								1	030	030	03	1	4.0	10	1	10	0.49423393739703	4	Prince Edward Island, Prince Edward Island, Canada	CA	CA09	12692	46.3333	-63.5	-571727	4	Prince Edward Island, Prince Edward Island, Canada	CA	CA09	12692	46.3333	-63.5	-571727	4	Prince Edward Island, Prince Edward Island, Canada	CA	CA09	12692	46.3333	-63.5	-571727	20171102113000	http://www.4-traders.com/CORO-MINING-CORP-1409543/news/Coro-Mining-Signs-Definitive-Option-Agreement-on-La-Atomica-Claims-Immediately-Adjacent-to-Its-Mari-25420234/
703259537	20171102	201711	2017	2017.8274	BUS	COMPANY						BUS			CHL	CHILEAN	CHL								1	057	057	05	1	8.0	4	1	4	0.49423393739703	1	United Kingdom	UK	UK		54	-4	UK	4	Mejillones, Antofagasta, Chile	CI	CI03	12932	-23.1	-70.45	-892165	4	Mejillones, Antofagasta, Chile	CI	CI03	12932	-23.1	-70.45	-892165	20171102113000	http://www.4-traders.com/CORO-MINING-CORP-1409543/news/Coro-Mining-Signs-Definitive-Option-Agreement-on-La-Atomica-Claims-Immediately-Adjacent-to-Its-Mari-25420234/
703259538	20171102	201711	2017	2017.8274	BUS	COMPANY						BUS			CHLBUS	CHILEAN	CHL					BUS			1	057	057	05	1	8.0	6	1	6	0.49423393739703	1	United Kingdom	UK	UK		54	-4	UK	4	Mejillones, Antofagasta, Chile	CI	CI03	12932	-23.1	-70.45	-892165	4	Mejillones, Antofagasta, Chile	CI	CI03	12932	-23.1	-70.45	-892165	20171102113000	http://www.4-traders.com/CORO-MINING-CORP-1409543/news/Coro-Mining-Signs-Definitive-Option-Agreement-on-La-Atomica-Claims-Immediately-Adjacent-to-Its-Mari-25420234/
703259539	20171102	201711	2017	2017.8274	BUS	COMPANY						BUS			CHN	HUBEI	CHN								1	042	042	04	1	1.9	6	1	6	1.97934595524957	4	Chen Dong, Guangdong, China	CH	CH30	13042	21.7686	111.37	10302076	4	Chen Dong, Guangdong, China	CH	CH30	13042	21.7686	111.37	10302076	4	Chen Dong, Guangdong, China	CH	CH30	13042	21.7686	111.37	10302076	20171102113000	http://markets.businessinsider.com/news/stocks/Pu-Neng-Wins-Contract-for-the-Largest-Vanadium-Flow-Battery-in-China-as-the-China-National-Development-and-Reform-Commission-Initiates-a-Major-Push-for-Energy-Storage-in-Support-of-Renewable-Energy-1006459880
703259540	20171102	201711	2017	2017.8274	BUS	COMPANY						BUS			CHN	HUBEI	CHN								1	060	060	06	2	6.0	6	1	6	1.97934595524957	4	Shiyan, Hubei, China	CH	CH12	13121	32.6475	110.778	-1926036	4	Shiyan, Hubei, China	CH	CH12	13121	32.6475	110.778	-1926036	4	Shiyan, Hubei, China	CH	CH12	13121	32.6475	110.778	-1926036	20171102113000	http://markets.businessinsider.com/news/stocks/Pu-Neng-Wins-Contract-for-the-Largest-Vanadium-Flow-Battery-in-China-as-the-China-National-Development-and-Reform-Commission-Initiates-a-Major-Push-for-Energy-Storage-in-Support-of-Renewable-Energy-1006459880
703259541	20171102	201711	2017	2017.8274	BUS	CORPORATION						BUS			EDU	SCHOOL						EDU			1	036	036	03	1	4.0	10	1	10	1.11111111111111	0								0								0								20171102113000	https://wkvi.com/2017/11/west-central-school-board-meet-tonight/
703259542	20171102	201711	2017	2017.8274	BUS	COMPANIES						BUS			EUR	EUROPEAN	EUR								0	020	020	02	1	3.0	10	1	10	6.41399416909621	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20171102113000	https://www.hedgeweek.com/2017/11/02/257860/crestline-closes-third-crestline-opportunity-fund-usd134bn
703259543	20171102	201711	2017	2017.8274	BUS	BANK						BUS			GBR	UNITED KINGDOM	GBR								1	193	193	19	4	-10.0	4	1	4	1.16822429906542	4	Bridport, Dorset, United Kingdom	UK	UKD6	40105	50.7333	-2.71667	-2590868	4	Bridport, Dorset, United Kingdom	UK	UKD6	40105	50.7333	-2.71667	-2590868	4	Bridport, Dorset, United Kingdom	UK	UKD6	40105	50.7333	-2.71667	-2590868	20171102113000	http://www.dailymail.co.uk/sciencetech/article-5042385/Stunning-images-Milky-Way-incredible-detail.html
703259544	20171102	201711	2017	2017.8274	BUS	COMPANIES						BUS			GOV	PRESIDENT						GOV			0	012	012	01	1	-0.4	6	1	6	2.97766749379653	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	20171102113000	http://journalofcommerce.com/Economic/News/2017/11/Uncertainty-cautious-optimism-surround-Aecon-deal-1028604W/
